,Date,Open,High,Low,Close,Volume,Diff,isLarger
0,2024-12-31,220.75,221.0493,218.44,219.83,2270512,0.0,start
1,2024-12-30,220.54,221.5942,217.6523,220.25,2095565,-0.19105672565163445,1
2,2024-12-27,223.61,224.42,221.4054,222.78,1810760,-1.1486946651532435,1
3,2024-12-26,223.17,225.4,222.55,224.89,3287238,-0.9471227219678582,1
4,2024-12-24,222.2,224.4446,221.5428,224.41,1186216,0.21343768064386381,0
5,2024-12-23,222.81,223.74,221.08,221.93,2988137,1.1051200926874856,0
6,2024-12-20,222.79,227.6847,221.68,223.36,12423200,-0.6443473167214933,1
7,2024-12-19,224.69,226.2,222.98,223.92,4430120,-0.2507163323782038,1
8,2024-12-18,229.035,229.035,220.03,220.17,4152517,1.6747052518756789,0
9,2024-12-17,228.81,230.2,227.62,228.97,3651346,-3.9969114774946632,1
10,2024-12-16,230.8,231.03,226.88,229.33,3610257,-0.15722583744594942,1
11,2024-12-13,232.02,233.775,230.26,230.82,2757683,-0.6497187459119971,1
12,2024-12-12,230.445,233.89,230.38,232.26,4515741,-0.6238627501949452,1
13,2024-12-11,232.845,233.0,229.13,230.12,3872680,0.9213812107121271,0
14,2024-12-10,229.21,234.39,227.8,231.72,4769531,-0.6952894142186636,1
15,2024-12-09,238.1,239.35,228.91,230.0,4970449,0.7422751596754722,0
16,2024-12-06,234.43,238.38,234.22,238.04,4028430,-3.4956521739130295,1
17,2024-12-05,233.725,236.52,233.46,234.75,4791116,1.3821206519912579,0
18,2024-12-04,229.87,233.74,229.35,233.49,4104195,0.5367412140574999,0
19,2024-12-03,227.3,229.11,226.67,229.0,3163815,1.9229945607949048,0
20,2024-12-02,227.455,228.38,225.51,227.39,2656181,0.7030567685589659,0
21,2024-11-29,227.75,230.36,227.19,227.41,2640253,-0.008795461541836858,1
22,2024-11-27,228.81,229.19,224.27,226.92,2995121,0.21546985620685177,0
23,2024-11-26,226.575,228.98,225.5115,228.83,4449543,-0.8417063282214059,1
24,2024-11-25,223.5,226.42,222.65,226.13,7189260,1.1799152209063521,0
25,2024-11-22,223.525,227.2,220.89,222.97,5320740,1.397426259231409,0
26,2024-11-21,215.51,222.63,215.2701,222.4,5236434,0.2556397721666599,0
27,2024-11-20,211.03,214.96,209.7725,214.6,4562901,3.507194244604321,0
28,2024-11-19,206.505,210.33,206.19,210.25,2860746,2.0270270270270316,0
29,2024-11-18,207.0,208.415,205.3701,208.09,3406045,1.0273483947681399,0
30,2024-11-15,207.46,208.49,204.07,204.99,3986460,1.4897400163390841,0
31,2024-11-14,210.0,210.4999,206.35,208.99,6372853,-1.9513146982779688,1
32,2024-11-13,209.5,211.41,209.0701,210.92,3247830,-0.9234891621608483,1
33,2024-11-12,211.9,213.03,209.06,210.86,2818216,0.02844680447562098,0
