,Date,Open,High,Low,Close,Volume,Diff,isLarger
0,2024-12-31,353.93,355.08,350.4318,351.79,1748650,0.0,start
1,2024-12-30,353.255,354.63,349.2301,352.49,1490172,-0.19898234742316845,1
2,2024-12-27,359.01,360.43,354.0,356.18,1195720,-1.0468382081761263,1
3,2024-12-26,359.35,361.95,359.07,360.43,910457,-1.193216912796899,1
4,2024-12-24,359.99,361.95,358.54,361.63,1075396,-0.33293566018366505,1
5,2024-12-23,360.4,362.96,355.73,358.77,3549390,0.7908635898570395,0
6,2024-12-20,370.7,372.07,362.0,366.37,7013200,-2.1183488028542,1
7,2024-12-19,365.0,376.91,363.1934,372.16,6075459,-1.5803695717444128,1
8,2024-12-18,357.505,359.4,347.12,347.61,3232909,6.596625107480662,0
9,2024-12-17,357.04,358.4799,353.02,357.3,2479098,-2.7876068007249444,1
10,2024-12-16,359.545,361.02,356.45,357.06,2306717,0.06717044500420855,0
11,2024-12-13,359.3,360.7626,356.25,358.68,1808745,-0.4537052596202358,1
12,2024-12-12,361.645,362.0,355.4,360.18,1834173,-0.41820006691199296,1
13,2024-12-11,364.95,366.59,363.43,363.84,1541560,-1.0161585873729564,1
14,2024-12-10,358.82,366.35,357.08974,362.9,2157906,0.2583553210202325,0
15,2024-12-09,360.578,366.0,358.1,359.5,2185184,0.9368972168641392,0
16,2024-12-06,364.86,371.88,361.55,362.7,2332307,-0.8901251738525673,1
17,2024-12-05,355.24,358.9,354.89,358.13,1821291,1.2599944858009309,0
18,2024-12-04,353.67,362.11,353.105,360.03,2074025,-0.5305336051154512,1
19,2024-12-03,348.8,354.335,346.62,352.54,3044981,2.0803821903730153,0
20,2024-12-02,363.36,363.36,356.96,361.38,2445661,-2.507516877517446,1
21,2024-11-29,361.0,365.0,360.0,362.37,1311278,-0.27394985887431744,1
22,2024-11-27,364.38,365.67,360.88,362.16,1657040,0.05795181720340281,0
23,2024-11-26,362.045,364.53,360.62,363.18,2106328,-0.281643472498331,1
24,2024-11-25,360.0,364.15,358.5,361.29,3054821,0.5204031058978984,0
25,2024-11-22,359.27,364.64,357.28,358.66,2211127,0.7279470785241671,0
26,2024-11-21,358.76,363.5,358.31,361.05,2240117,-0.6663692633692051,1
27,2024-11-20,353.98,357.33,351.65,357.07,1792718,1.102340396067035,0
28,2024-11-19,350.68,353.97,349.99,353.95,2447247,0.8737782507631522,0
29,2024-11-18,353.995,355.4999,351.82,352.79,1760084,0.3277299053538627,0
30,2024-11-15,360.28,360.31,348.85,353.57,3624539,-0.2210947022307721,1
31,2024-11-14,371.22,372.0,361.025,362.07,3503239,-2.4040501173742115,1
32,2024-11-13,360.17,370.64,359.04,370.22,3353988,-2.250945949678254,1
33,2024-11-12,357.3,362.13,356.95,360.61,3233662,2.5957538760736867,0
34,2024-11-11,354.94,360.64,354.1,357.3,2985383,0.9178891323035998,0
35,2024-11-08,360.77,362.76,355.12,355.53,2289531,0.49538203190597585,0
36,2024-11-07,358.0,362.0,356.29,360.71,2250537,-1.456979720417408,1
37,2024-11-06,355.9,357.23,353.0,356.13,3009729,1.2697180560561065,0
38,2024-11-05,342.79,347.4199,342.21,345.49,1554297,2.9876730407435446,0
39,2024-11-04,345.26,346.6751,341.58,343.9,1931315,0.4602159252076916,0
40,2024-11-01,346.94,347.9499,344.83,345.67,2579809,-0.5146845013085368,1
41,2024-10-31,344.63,347.86,342.62,344.82,3078198,0.24589926808806695,0
42,2024-10-30,358.0,358.83,345.34,346.57,3916762,-0.5075111652456314,1
43,2024-10-29,360.91,365.08,359.05,363.04,2643029,-4.752286695328522,1
44,2024-10-28,364.0,366.99,360.39,361.32,2717787,0.47377699427060804,0
45,2024-10-25,364.0,365.445,359.5911,360.8,2129390,0.14391674969556334,0
46,2024-10-24,367.5,373.44,363.75,364.23,2311975,-0.9506651884700688,1
47,2024-10-23,370.84,372.48,368.225,370.63,2211832,-1.7571314828542342,1
48,2024-10-22,374.62,374.86,371.13,371.79,1740279,-0.3129806005989906,1
49,2024-10-21,375.0,377.34,374.21,376.03,1785135,-1.1404287366523818,1
50,2024-10-18,375.51,377.33,373.65,376.86,1893296,-0.22072706964870292,1
51,2024-10-17,373.0,375.51,371.78,375.15,1906904,0.4537494029613214,0
52,2024-10-16,365.69,372.87,364.88,372.26,2110724,0.7703585232573573,0
53,2024-10-15,365.43,371.0,365.43,368.66,2956109,0.9670660291194224,0
54,2024-10-14,361.58,365.62,361.1601,364.6,2255799,1.101285737535946,0
55,2024-10-11,362.52,363.4,360.06,360.74,1436631,1.0586944596818455,0
56,2024-10-10,363.56,364.47,358.9101,361.07,2088152,-0.09147862726617007,1
57,2024-10-09,360.98,366.46,360.77,365.08,2046441,-1.1105879746309455,1
58,2024-10-08,359.53,360.65,357.52,360.38,2348284,1.2873890654103093,0
59,2024-10-07,360.0,362.0,355.85,356.8,1536791,0.9933958599256272,0
