Date,Open,High,Low,Close,Volume
2023-12-29,193.167,193.665,191.001,191.803,42834073.019311
2023-12-28,193.406,193.925,192.44,192.848,34179104.769511
2023-12-27,191.763,192.768,190.367,192.42,48270155.964104
2023-12-26,192.878,193.157,192.101,192.32,29029048.085606
2023-12-22,194.442,194.672,192.24,192.868,37290538.878333
2023-12-21,195.359,196.335,192.768,193.945,46658933.081824
2023-12-20,196.156,196.933,194.093,194.093,52441057.160852
2023-12-19,195.419,196.206,195.149,196.196,40868545.7654
2023-12-18,195.349,195.886,193.655,195.149,55963418.692597
2023-12-15,196.783,197.65,196.256,196.823,129026156.6917
2023-12-14,197.272,198.866,195.419,197.362,67085173.097996
2023-12-13,194.352,197.252,194.113,197.212,70671340.835407
2023-12-12,192.35,193.984,190.997,193.974,52896865.245483
2023-12-11,192.38,192.758,190.696,192.45,61174957.797599
2023-12-08,193.466,195.249,192.938,194.97,53609015.376199
2023-12-07,192.898,194.262,192.858,193.535,47657815.141053
2023-12-06,193.715,194.024,191.383,191.593,41245657.354822
2023-12-05,189.492,193.665,189.462,192.689,66881228.127811
2023-12-04,189.262,189.332,186.742,188.715,43554166.176935
2023-12-01,189.611,190.836,188.515,190.516,45878255.899297
2023-11-30,189.122,189.601,187.478,189.232,48979522.57231
2023-11-29,190.179,191.364,188.255,188.655,43177447.071213
2023-11-28,189.062,190.358,188.685,189.679,38561191.307112
2023-11-27,189.202,189.949,188.185,189.072,40706491.15272
2023-11-24,190.149,190.179,188.535,189.252,24139598.571169
2023-11-22,190.766,192.201,190.104,190.586,39780392.234534
2023-11-21,190.686,190.796,189.022,189.919,38279191.266486
2023-11-20,189.172,191.179,189.162,190.726,46715210.827763
2023-11-17,189.532,189.659,187.858,188.972,51134707.787436
2023-11-16,188.853,190.239,187.937,188.992,54619391.887738
2023-11-15,187.135,188.783,187.07,187.299,53994614.049219
2023-11-14,186.991,187.399,185.596,186.731,60336467.063348
2023-11-13,185.118,185.326,183.514,184.101,43793069.298911
2023-11-10,183.275,185.86,182.836,185.695,66429042.738
2023-11-09,182.028,183.183,180.885,181.482,54038652.339932
2023-11-08,181.422,182.517,180.666,181.958,49592760.174502
2023-11-07,178.268,181.512,178.059,180.895,70890873.484545
2023-11-06,175.483,178.517,175.313,178.318,64167991.096119
2023-11-03,173.353,175.919,172.467,175.751,80237738.645055
2023-11-02,174.627,176.875,174.567,176.666,77730480.119481
2023-11-01,170.129,173.343,169.253,173.085,57226246.473739
2023-10-31,168.487,170.029,167.045,169.9,45075497.660565
2023-10-30,168.16,170.299,168.011,169.423,51392596.191652
2023-10-27,166.061,168.1,165.981,167.364,58798473.728104
2023-10-26,169.503,170.505,164.826,166.041,70986653.10134
2023-10-25,171.005,172.179,169.78,170.229,57449438.752075
2023-10-24,172.169,172.785,170.577,172.557,44040857.276485
2023-10-23,170.039,173.125,169.064,172.119,56266563.701024
2023-10-20,174.417,174.527,171.761,172.0,64572769.836378
